fecha,temporada,liga,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,posesion_visitante,tiros_puerta_local,tiros_puerta_visitante,faltas_local,faltas_visitante,corners_local,corners_visitante,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante
2024-01-05,2023-2024,LaLiga,FC Barcelona,Real Madrid,3,1,58,42,8,5,10,14,7,3,2,4,0,0
2024-01-12,2023-2024,LaLiga,Atlético Madrid,Sevilla FC,2,0,52,48,6,3,15,12,5,4,3,3,0,1
2024-01-19,2023-2024,LaLiga,Real Madrid,Athletic Bilbao,2,2,60,40,10,4,9,13,8,2,1,3,0,0
2024-01-26,2023-2024,LaLiga,FC Barcelona,Sevilla FC,4,0,65,35,12,2,8,15,9,1,2,5,0,0
2024-02-02,2023-2024,LaLiga,Athletic Bilbao,FC Barcelona,1,2,45,55,4,9,14,8,4,7,4,2,1,0
2024-02-09,2023-2024,LaLiga,Real Madrid,Atlético Madrid,1,1,54,46,7,6,10,14,6,5,3,4,0,0
2024-02-16,2023-2024,LaLiga,Sevilla FC,Real Madrid,0,3,42,58,4,11,13,9,3,8,3,1,0,0
2024-02-23,2023-2024,LaLiga,FC Barcelona,Atlético Madrid,2,1,57,43,8,6,9,13,6,5,2,3,0,1
2024-03-01,2023-2024,LaLiga,Athletic Bilbao,Sevilla FC,2,0,51,49,5,5,12,11,4,3,2,2,0,0
2024-03-08,2023-2024,LaLiga,Atlético Madrid,Real Madrid,0,2,46,54,5,9,15,8,4,7,4,2,1,0
2024-03-15,2023-2024,LaLiga,Sevilla FC,Athletic Bilbao,1,1,53,47,6,5,10,13,5,4,3,3,0,0
2024-03-22,2023-2024,LaLiga,Real Madrid,FC Barcelona,2,3,45,55,7,10,11,9,5,8,3,2,0,0
2024-04-05,2023-2024,LaLiga,Atlético Madrid,Athletic Bilbao,3,0,56,44,9,3,11,14,7,2,2,4,0,0
2024-04-12,2023-2024,LaLiga,Sevilla FC,Atlético Madrid,1,2,47,53,4,7,12,10,3,6,3,2,0,0
2024-04-19,2023-2024,LaLiga,Athletic Bilbao,Real Madrid,0,2,43,57,3,8,15,9,3,6,4,1,0,0
2024-04-26,2023-2024,LaLiga,FC Barcelona,Athletic Bilbao,3,0,62,38,11,2,8,16,9,2,1,5,0,0
2024-05-03,2023-2024,LaLiga,Real Madrid,Sevilla FC,4,1,59,41,12,3,9,12,8,2,2,3,0,0
2024-05-10,2023-2024,LaLiga,Atlético Madrid,FC Barcelona,1,2,48,52,5,8,14,10,4,6,3,2,0,0
2024-05-17,2023-2024,LaLiga,Sevilla FC,FC Barcelona,0,2,40,60,3,9,13,8,2,7,4,1,1,0
2024-05-24,2023-2024,LaLiga,Athletic Bilbao,Atlético Madrid,2,2,49,51,6,6,12,13,5,4,3,3,0,0
2024-08-10,2024-2025,LaLiga,FC Barcelona,Athletic Bilbao,2,0,60,40,9,3,9,15,8,2,1,4,0,0
2024-08-17,2024-2025,LaLiga,Real Madrid,Atlético Madrid,3,1,56,44,10,4,10,13,7,3,2,4,0,0
2024-08-24,2024-2025,LaLiga,Sevilla FC,FC Barcelona,1,3,42,58,4,12,14,9,3,9,3,2,0,0
2024-08-31,2024-2025,LaLiga,Athletic Bilbao,Real Madrid,1,1,47,53,5,7,13,10,4,6,3,2,0,0
2024-09-07,2024-2025,LaLiga,Atlético Madrid,Sevilla FC,2,0,55,45,8,4,12,11,6,3,2,3,0,0
2024-09-14,2024-2025,LaLiga,FC Barcelona,Atlético Madrid,2,2,54,46,8,7,9,14,7,5,2,4,0,0
2024-09-21,2024-2025,LaLiga,Real Madrid,Sevilla FC,3,0,58,42,11,2,8,13,8,2,1,4,0,0
2024-09-28,2024-2025,LaLiga,Athletic Bilbao,Atlético Madrid,1,2,46,54,4,8,14,11,3,6,3,2,0,0
2024-10-05,2024-2025,LaLiga,FC Barcelona,Real Madrid,2,1,57,43,9,6,10,12,7,4,2,3,0,0
2024-10-12,2024-2025,LaLiga,Sevilla FC,Athletic Bilbao,2,1,52,48,7,5,11,13,5,4,3,3,0,0
