caracteristica,importancia
feature_66,0.32877657
feature_67,0.2159957
feature_52,0.18920535
feature_46,0.11020768
feature_36,0.057229288
feature_44,0.014728597
feature_56,0.011704753
feature_45,0.010053187
feature_71,0.008648384
feature_47,0.008164314
feature_10,0.008043883
feature_24,0.0072719273
feature_37,0.0070234076
feature_20,0.0063875136
feature_11,0.00532987
feature_14,0.0041831387
feature_51,0.0019448721
feature_68,0.0011233748
feature_0,0.0009502151
feature_29,0.0008112263
feature_41,0.0007729488
feature_1,0.000732259
feature_28,0.0007116151
feature_2,0.0
feature_8,0.0
feature_6,0.0
feature_5,0.0
feature_3,0.0
feature_4,0.0
feature_12,0.0
feature_9,0.0
feature_7,0.0
feature_26,0.0
feature_21,0.0
feature_32,0.0
feature_25,0.0
feature_23,0.0
feature_27,0.0
feature_19,0.0
feature_22,0.0
feature_18,0.0
feature_16,0.0
feature_17,0.0
feature_15,0.0
feature_13,0.0
feature_43,0.0
feature_42,0.0
feature_39,0.0
feature_40,0.0
feature_38,0.0
feature_33,0.0
feature_34,0.0
feature_35,0.0
feature_30,0.0
feature_31,0.0
feature_54,0.0
feature_55,0.0
feature_49,0.0
feature_53,0.0
feature_50,0.0
feature_48,0.0
feature_60,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_64,0.0
feature_63,0.0
feature_62,0.0
feature_61,0.0
feature_65,0.0
feature_69,0.0
feature_70,0.0
feature_72,0.0
feature_73,0.0
feature_74,0.0
feature_75,0.0
feature_76,0.0
